Province_State,Country_Region,Last_Update ,Lat,Long_,Confirmed,Deaths,Recovered,Active ,FIPS,Incident_Rate,Total_Test_Results,People_Hospitalized ,Case_Fatality_Ratio,UID  ,ISO3,Testing_Rate,Hospitalization_Rate
Alabama,US,1/8/2021 5:30,32.3182,-86.9023,389230,5080,211684,172466,1,7938.309487,1932031,,1.305140919,84000001,USA,39403.59175,
Alaska,US,1/8/2021 5:30,61.3707,-152.4044,49228,223,7165,41840,2,6729.319454,1326542,,0.452994231,84000002,USA,181334.2993,
American Samoa,US,1/8/2021 5:30,-14.271,-170.132,0,0,,0,60,0,2140,,,16,ASM,3846.084722,
Arizona,US,1/8/2021 5:30,33.7298,-111.4312,584593,9741,82155,492697,4,8031.539075,5416054,,1.666287485,84000004,USA,41076.08525,
Arkansas,US,1/8/2021 5:30,34.9697,-92.3731,245916,3926,215980,26010,5,8148.839355,2129230,,1.596480099,84000005,USA,70555.60931,
California,US,1/8/2021 9:30,36.1162,-119.6816,2609088,28566,,2547789,6,6520.400029,34760355,,1.10877577,84000006,USA,87973.67589,
Colorado,US,1/8/2021 5:30,39.0598,-105.3111,352923,5102,18775,329046,8,6128.480278,4649434,,1.445641117,84000008,USA,80737.05758,
Connecticut,US,1/8/2021 5:30,41.5978,-72.7554,202758,6287,9800,186671,9,5687.003599,4581696,,3.100740785,84000009,USA,128508.4763,
Delaware,US,1/8/2021 5:30,39.3185,-75.5071,62949,1112,18851,43149,10,6464.502693,1029436,,1.50756962,84000010,USA,105717.1964,
Diamond Princess,US,1/8/2021 5:30,,,49,0,,49,88888,,,,0,84088888,USA,,
District of Columbia,US,1/8/2021 5:30,38.8974,-77.0268,30750,808,21660,8282,11,4357.073124,937035,,2.627642276,84000011,USA,132771.7078,
Florida,US,1/8/2021 5:30,27.7663,-81.6868,1429722,22481,,1407241,12,6656.762768,16451278,,1.572403586,84000012,USA,76596.88728,
Georgia,US,1/8/2021 5:30,33.0406,-83.6431,723630,11230,,712400,13,6815.495625,5569613,,1.551898069,84000013,USA,52457.2959,
Grand Princess,US,1/8/2021 5:30,,,103,3,,100,99999,,,,2.912621359,84099999,USA,,
Guam,US,1/8/2021 5:30,13.4443,144.7937,7386,124,7145,117,66,4497.37866,98270,,1.678851882,316,GUM,59837.17857,
Hawaii,US,1/8/2021 5:30,21.0943,-157.4983,22897,299,11958,10640,15,1617.165959,849892,,1.305847928,84000015,USA,60026.04755,
Idaho,US,1/8/2021 5:30,44.2405,-114.4788,147173,1517,63097,82559,16,8235.458699,554296,,1.030759718,84000016,USA,31017.11465,
Illinois,US,1/8/2021 5:30,40.3495,-88.9861,1008045,18941,,989104,17,7955.012938,13803946,,1.878983577,84000017,USA,108934.1934,
Indiana,US,1/8/2021 5:30,39.8494,-86.2583,546499,9958,360087,177589,18,8117.665216,5950922,,1.614458581,84000018,USA,88394.65858,
Iowa,US,1/8/2021 5:30,42.0115,-93.2105,293189,4065,251659,37465,19,9292.630591,1188908,,1.386477665,84000019,USA,37682.46029,
Kansas,US,1/8/2021 5:30,38.5266,-96.7265,239311,3020,4745,230606,20,8182.125236,1037519,,1.266932639,84000020,USA,35613.01665,
Kentucky,US,1/8/2021 5:30,37.6681,-84.6701,291429,2843,38173,250413,21,6523.060215,3268056,,0.975537781,84000021,USA,73148.95249,
Louisiana,US,1/8/2021 5:30,31.1695,-91.8678,338054,7728,280373,49953,22,7271.864488,4369449,,2.28602531,84000022,USA,93991.02219,
Maine,US,1/8/2021 5:30,44.6939,-69.3819,27625,385,11658,15582,23,2055.107379,1162204,,1.393665158,84000023,USA,86459.87389,
Maryland,US,1/8/2021 5:30,39.0639,-76.8021,295874,6173,9404,280297,24,4893.973879,5972432,,2.086361086,84000024,USA,98788.42413,
Massachusetts,US,1/8/2021 5:30,42.2302,-71.5301,411601,12909,293522,105170,25,5971.720288,11417197,,3.136289756,84000025,USA,165646.6018,
Michigan,US,1/8/2021 5:30,43.3266,-84.5361,555747,13873,363611,178263,26,5564.783795,8410027,,2.496279782,84000026,USA,84210.94845,
Minnesota,US,1/8/2021 5:30,45.6945,-93.9002,429570,5640,408510,15420,27,7616.986357,5553851,,1.312940848,84000027,USA,98478.96104,
Mississippi,US,1/8/2021 5:30,32.7416,-89.6787,228235,5013,182103,41119,28,7668.802872,1411813,,2.196420356,84000028,USA,47437.57789,
Missouri,US,1/8/2021 5:30,38.4561,-92.2884,467936,6094,,417854,29,6906.93235,3747390,,1.428140068,84000029,USA,61057.98716,
Montana,US,1/8/2021 5:30,46.9219,-110.4544,84750,1038,78796,4916,30,7929.616815,823279,,1.224778761,84000030,USA,77029.93512,
Nebraska,US,1/8/2021 5:30,41.1254,-98.2681,173591,1719,116295,55485,31,8973.856601,1813522,,1.043256851,84000031,USA,93750.74958,
Nevada,US,1/8/2021 5:30,38.3135,-117.0554,240796,3339,,237457,32,7817.655989,2180031,,1.386650941,84000032,USA,70776.64248,
New Hampshire,US,1/8/2021 5:30,43.4525,-71.5639,50337,827,41804,6630,33,3622.90222,1075687,,1.678812854,84000033,USA,79111.44353,
New Jersey,US,1/8/2021 5:30,40.2989,-74.521,566761,19646,58335,432858,34,5751.273053,8121062,,3.845830095,84000034,USA,91430.85208,
New Mexico,US,1/8/2021 5:30,34.8405,-106.2485,151819,2680,74235,74904,35,7240.409208,2048336,,1.765259948,84000035,USA,97687.31737,
New York,US,1/8/2021 5:30,42.1657,-74.9481,1081885,39118,107243,935524,36,5561.372543,26572232,,3.615726256,84000036,USA,136593.1512,
North Carolina,US,1/8/2021 5:30,35.6301,-79.8064,592746,7213,487090,98443,37,5651.613774,7314642,,1.216878731,84000037,USA,69742.40481,
North Dakota,US,1/8/2021 5:30,47.5289,-99.784,94156,1348,90726,2089,38,12355.42515,1268083,,1.424232125,84000038,USA,166401.5526,
Northern Mariana Islands,US,1/8/2021 5:30,15.0979,145.6739,125,2,29,94,69,226.6792398,17554,,1.6,580,MNP,31833.019,
Ohio,US,1/8/2021 5:30,40.3888,-82.7649,753068,14383,613418,130188,39,6442.480602,7963321,,1.25646024,84000039,USA,68126.0405,
Oklahoma,US,1/8/2021 5:30,35.5653,-96.9289,315354,2672,277828,34854,40,7969.580773,2778295,,0.847301762,84000040,USA,70212.67025,
Oregon,US,1/8/2021 5:30,44.572,-122.0709,121085,1568,5870,113647,41,2870.852308,2762331,,1.294958087,84000041,USA,65493.20169,
Pennsylvania,US,1/8/2021 5:30,40.5908,-77.2098,698005,17173,499022,181810,42,5452.316824,7904802,,2.460297562,84000042,USA,31485.75585,
Puerto Rico,US,1/8/2021 5:30,18.2208,-66.5901,79898,1588,70374,7936,72,2501.742496,385870,,1.987534106,630,PRI,12082.24708,
Rhode Island,US,1/8/2021 5:30,41.6809,-71.5118,96591,2035,5794,88887,44,9117.855009,2099745,,1.977409904,84000044,USA,198208.6371,
South Carolina,US,1/8/2021 5:30,33.8569,-80.945,338112,5661,159700,172751,45,6566.921371,3356854,,1.674297274,84000045,USA,65197.91156,
South Dakota,US,1/8/2021 5:30,44.2998,-99.4388,102132,1544,94513,6075,46,11544.78731,380234,,1.511769083,84000046,USA,42980.85477,
Tennessee,US,1/8/2021 5:30,35.7478,-86.6923,634237,7492,555634,71111,47,9287.170015,5840819,,1.181261894,84000047,USA,85527.4591,
Texas,US,1/8/2021 5:30,31.0545,-97.5635,1910091,29498,1522105,358488,48,6587.456336,14445909,,1.544324328,84000048,USA,49820.55555,
Utah,US,1/8/2021 5:30,40.15,-111.8624,297317,1359,242361,53597,49,9273.889427,2332387,,0.457087889,84000049,USA,72751.63929,
Vermont,US,1/8/2021 5:30,44.0459,-72.7107,8403,155,5657,2591,50,1346.658355,731627,,1.844579317,84000050,USA,117249.9836,
Virgin Islands,US,1/8/2021 5:30,18.3358,-64.8963,2130,24,1955,151,78,1985.680725,37042,,1.126760563,850,VIR,34532.19972,
Virginia,US,1/8/2021 5:30,37.7693,-78.17,382679,5275,32368,345036,51,4483.371193,4463768,,1.378439893,84000051,USA,52296.38643,
Washington,US,1/8/2021 5:30,47.4009,-121.4905,264012,3634,,260378,53,3467.04806,3969589,,1.376452585,84000053,USA,52129.2814,
West Virginia,US,1/8/2021 5:30,38.4912,-80.9545,96002,1518,66881,27603,54,5356.815038,1606517,,1.581217058,84000054,USA,89642.03271,
Wisconsin,US,1/8/2021 5:30,44.2685,-89.6165,540508,5477,464443,70588,55,9283.196684,5517819,,1.013306001,84000055,USA,94768.25328,
Wyoming,US,1/8/2021 5:30,42.756,-107.3025,46168,489,43949,1730,56,7977.068175,522688,,1.059175186,84000056,USA,90311.85692,
